[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run ParseTemplate Behavior [ RunTime:0.027310s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027436s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run ContentReplace Behavior [ RunTime:0.001454s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run TokenBuild Behavior [ RunTime:0.001249s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000905s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run ShowRuntime Behavior [ RunTime:0.001132s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005018s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_end ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run ShowPageTrace Behavior [ RunTime:0.001097s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ view_end ] --END-- [ RunTime:0.001185s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002052s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002193s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001403s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001490s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005942s ]
[ 2013-04-27T19:45:53+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1367063153 WHERE username='n446a0oo6rt6d6cgl0q71es9l0'; [ RunTime:0.000695s ]
[ 2013-04-27T19:46:18+08:00 ] /Ibike/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T19:46:18+08:00 ] /Ibike/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001112s ]
[ 2013-04-27T19:46:18+08:00 ] /Ibike/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001250s ]
[ 2013-04-27T19:46:18+08:00 ] /Ibike/index.php | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.009014s ]
