[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001241s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007502s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_end ] --START--
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001157s ]
[ 2013-04-27T18:23:28+08:00 ] /Ibike/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001252s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Tag[ route_check ] --START--
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Run CheckRoute Behavior [ RunTime:0.002333s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002472s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001427s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001517s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006495s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Undefined index: search SearchAction.class.php 第 97 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Undefined index: search SearchAction.class.php 第 20 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.002936s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.005680s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000925s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.000901s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.000914s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000898s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.000969s ]
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 42 行.
[ 2013-04-27T18:23:31+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E7%A7%9F%E8%B5%81 | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154274F61CA7'; [ RunTime:0.000915s ]
